Algoritmo,Dimensao,Mediana
QuickIn,1000,0
QuickIn,2000,0
QuickIn,5000,1
QuickIn,10000,2
QuickIn,50000,17
QuickIn,100000,34
QuickIn,500000,149
QuickIn,1000000,289
Quick1,1000,0
Quick1,2000,0
Quick1,5000,1
Quick1,10000,2
Quick1,50000,13
Quick1,100000,27
Quick1,500000,135
Quick1,1000000,283
Quick2,1000,0
Quick2,2000,0
Quick2,5000,1
Quick2,10000,2
Quick2,50000,14
Quick2,100000,29
Quick2,500000,138
Quick2,1000000,286
Merge,1000,0
Merge,2000,1
Merge,5000,2
Merge,10000,6
Merge,50000,34
Merge,100000,71
Merge,500000,337
Merge,1000000,700
Shell,1000,0
Shell,2000,3
Shell,5000,16
Shell,10000,74
Shell,50000,1715
Shell,100000,7152
Shell,500000,165391
Shell,1000000,678253
Insertion,1000,4
Insertion,2000,15
Insertion,5000,101
Insertion,10000,414
Insertion,50000,10557
Insertion,100000,41025
Insertion,500000,964840
Insertion,1000000,3808353
Selection,1000,5
Selection,2000,24
Selection,5000,140
Selection,10000,551
Selection,50000,13896
Selection,100000,55268
Selection,500000,1352610
Selection,1000000,5396452
Bubble,1000,10
Bubble,2000,41
Bubble,5000,242
Bubble,10000,1020
Bubble,50000,22894
Bubble,100000,77951
Bubble,500000,1500372
Bubble,1000000,5648135
Counting,1000,0
Counting,2000,0
Counting,5000,0
Counting,10000,0
Counting,50000,2
Counting,100000,4
Counting,500000,21
Counting,1000000,44
Heap,1000,0
Heap,2000,0
Heap,5000,2
Heap,10000,4
Heap,50000,28
Heap,100000,59
Heap,500000,326
Heap,1000000,713
Radix,1000,0
Radix,2000,0
Radix,5000,1
Radix,10000,3
Radix,50000,16
Radix,100000,30
Radix,500000,147
Radix,1000000,290
